Codigo_IFN,Nombre_Especie,Ambito_de_aplicacion,Origen,Arborea_Matorral,Grupo,Hoja
2132,Clematis vitalba,Nacional,IFN4_MFE25,MATO,,
2135,Osyris quadripartita,Nacional,IFN4_MFE25,MATO,,
2138,Asparagus albus,Nacional,IFN4_MFE25,MATO,,
2144,Lonicera implexa,Nacional,IFN4_MFE25,MATO,,
2152,Coronilla minima,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
2156,Genista triacanthos,Nacional,IFN4_MFE25,MATO,,
2164,Ulex baeticus,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
2165,Retama monosperma,Nacional,IFN4_MFE25,MATO,,
2167,Cytisus cantabricus,Nacional,IFN4_MFE25,MATO,,
2171,Phlomis purpurea,Nacional,IFN4_MFE25,MATO,,
2502,Cotoneaster integerrimus,Provincia de Lérida/Lleida,IFN4_MFE25,MATO,,
2505,Echinospartum horridum,Provincia de Lérida/Lleida,IFN4_MFE25,MATO,,
2506,Emerus major,Provincia de Lérida/Lleida,IFN4_MFE25,MATO,,
2507,Lonicera pyrenaica,Provincia de Lérida/Lleida,IFN4_MFE25,MATO,,
2509,Rhododendron ferrugineum,Provincia de Lérida/Lleida,IFN4_MFE25,MATO,,
2910,Buxus balearica,Comunidad autónoma de Murcia,IFN4_MFE25,MATO,,
2950,Prunus spinosa,Nacional,IFN4_MFE25,MATO,,
2970,Sambucus racemosa,Nacional,IFN4_MFE25,MATO,,
3101,Cistus albidus,Nacional,IFN4_MFE25,MATO,,
3102,Erica vagans,Nacional,IFN4_MFE25,MATO,,
3103,Spartium spp.,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
3104,Calicotome villosa,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
3109,Lavandula lanata,Nacional,IFN4_MFE25,MATO,,
3110,Daphne mezereum,Nacional,IFN4_MFE25,MATO,,
3115,Viburnum lantana,Nacional,IFN4_MFE25,MATO,,
3117,Halimium lasianthum,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
3121,Rubus ulmifolius,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
3122,Rhamnus alpinus,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
3144,Lonicera periclymenum,Nacional,IFN4_MFE25,MATO,,
3152,Coronilla juncea,Nacional,IFN4_MFE25,MATO,,
3155,Genista scorpius,Nacional,IFN4_MFE25,MATO,,
3163,Adenocarpus telonensis,Nacional,IFN4_MFE25,MATO,,
3164,Ulex minor,Nacional,IFN4_MFE25,MATO,,
3167,Cytisus multiflorus,Nacional,IFN4_MFE25,MATO,,
3690,Chamaerops humilis,Nacional,IFN4_MFE25,MATO,,
3700,Juniperus communis spp. alpina,Nacional,IFN4_MFE25,MATO,,
4101,Cistus clusii,Nacional,IFN4_MFE25,MATO,,
4102,Erica multiflora,Nacional,IFN4_MFE25,MATO,,
4103,Retama spp.,Nacional,IFN4_MFE25,MATO,,
4104,Cytisus spp.,Nacional,IFN4_MFE25,MATO,,
4109,Lavandula pedunculata,Nacional,IFN4_MFE25,MATO,,
4115,Viburnum opulus,Nacional,IFN4_MFE25,MATO,,
4117,Halimium atriplicifolium,Nacional,IFN4_MFE25,MATO,,
4122,Rhamnus oleoides,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
4144,Lonicera pyrenaica,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
4156,Genista tridentata,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
4167,Cytisus oromediterraneus,Nacional,IFN4_MFE25,MATO,,
5101,Cistus monspeliensis,Nacional,IFN4_MFE25,MATO,,
5102,Erica cinerea,Nacional,IFN4_MFE25,MATO,,
5103,Sarothamnus vulgaris,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
5104,Coronilla spp.,Nacional,IFN4_MFE25,MATO,,
5117,Halimium ocymoides,Nacional,IFN4_MFE25,MATO,,
5144,Lonicera xylosteum,Nacional,IFN4_MFE25,MATO,,
5155,Genista balansae,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
6101,Cistus salviifolius,Nacional,IFN4_MFE25,MATO,,
6102,Erica scoparia,Nacional,IFN4_MFE25,MATO,,
6103,Ulex europaeus,Nacional,IFN4_MFE25,MATO,,
6104,Astragalus spp.,Nacional,IFN4_MFE25,MATO,,
6117,Halimium umbellatum,Nacional,IFN4_MFE25,MATO,,
6122,Rhamnus alaternus,Nacional,IFN4_MFE25,MATO,,
7101,Cistus crispus,Nacional,IFN4_MFE25,MATO,,
